user_id,Pizza_ordered,Burger_ordered,Pasta_ordered,Pizza_available,Burger_available,Pasta_available,Samosa_ordered,Samosa_available,Kachori_ordered,Kachori_available,Vadapav_ordered,Vadapav_available,Dosa_ordered,Dosa_available,Noodles_ordered,Noodles_available,Maggie_ordered,Maggie_available,target
1,0,0,0,1,1,1,0,0,0,1,1,1,0,0,1,1,0,0,0
2,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1
3,0,0,1,0,1,1,0,0,1,0,1,1,1,1,0,0,1,0,1
4,0,1,1,1,0,0,0,1,1,1,0,0,0,0,1,1,1,0,0
5,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1,0,0
6,1,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,1
7,0,1,1,1,1,1,0,1,1,1,1,1,0,0,0,1,0,1,1
8,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,0
9,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0,1,0
10,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,1,0
11,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0
12,0,0,1,1,0,1,0,0,1,1,0,1,0,1,1,0,1,0,1
13,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0
14,0,0,1,0,1,1,0,0,1,0,1,1,0,1,1,0,0,0,1
15,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,1,0,0
16,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
17,1,0,1,0,1,1,1,0,1,0,1,1,0,0,0,0,0,0,1
18,1,0,1,0,1,1,1,0,1,0,1,1,1,0,0,0,1,1,1
19,1,1,1,0,0,1,1,1,1,0,0,1,1,1,1,0,0,0,1
20,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
21,1,1,0,0,1,0,1,1,0,0,1,0,0,0,1,1,1,0,1
22,0,0,1,0,1,1,0,0,1,0,1,1,0,0,1,1,0,1,1
23,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0
24,1,0,0,1,1,1,1,0,0,1,1,1,0,0,0,0,1,1,1
25,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0
26,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0,1,1,0,1
27,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,1,1
28,1,0,1,0,0,1,1,0,1,0,0,1,1,1,1,1,0,1,1
29,1,0,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,1,1
